Gain	Loss
ADH2	AAD14
AGP1	AAD15
AQY1	AAD15
ARR1	AIF1
ARR2	ARS
ARR3	ARS111
ARS1004	ARS112
ARS102	ARS201
ARS1003	ARS300
ARS103	ARS301
ARS1319	ARS403
ARS1335	ARS502
ARS1631	ARS736
ARS306	ARS824
ARS902	ASP3-1
ARS904	ASP3-2
BSC1	ASP3-3
BUD5	ASP3-4
DDR8	BDS1
DSF1	COS1
ERR3	COS10
FDH1	COS12
FIG2	COS3
FLO1	COS4
FLO9	COS6
FRM2	CSS3
FUS1	CUP1-1
HBN1	CUP1-2
HBN1	DDI2
HKR1	DDI3
HPA2	DSF1
HPF1	ENA1
HPF1	ENA2
HXT11	ENA5
HXT13	ERR1
HXT4	ERR2
HXT8	FDH2
HXTp	FEX2
IMA2	FLO1
IMA2	FLO1
IMA3	FLO10
IMA4m	FLO11
IMA5	FLO5
KCC4	FLO5
MATALHPA2	FLO9
MATALPHA	GEX1
MSS11	GEX2
NUM1	HML
NUM1	HMLAPHA2
NUP170	HSP32
OPT2	HSP33
PAU1	HXT15
PAU14	HXT17
PAU19	HXT6
PAU4	HXT7
PAU8	IMA2
REE1	IMD2
RNQ1	MAL11
RRT15	MAL12
SED1	MAL31
SEO1	MAL32
SGE1	MAL33
SNO4	MAN2
SPA2	MPH2
SSB2	MST27
SSB2	NFT1
TEL01L	NUM1
TEL10L.	PAU10
TEL12R	PAU11
TEL12R	PAU12
TEL12R	PAU16
TEL13R	PAU18
TIF1	PAU20
TPO2	PAU22
VTH1	PAU24
VTH2	PAU6
YAL066W	PAU9
YAL067C	PHO11
YAL067W-A	PHO12
YAL069W	PRM7
YAL069W-A	PRM8
YBL005W-A	RDN5-3
YBL005W-B	RSC30
YBL005W-B	RUF5-1
YBL005W-B	RUF5-2
YBL005W-B	SNO2
YBLWdelta9	SNO3
YBLWTy1-1	SNZ2
YBLWTy1-1	SNZ3
YBLWTy1-1	SOR2
YBLWTy1-1	SSB1
YBR012W-B	SSB1
YBRWTy1-2	SSB2
YCLWTy2-1	TDA8
YDRCTy1-2	TEL02L
YDRCTy1-2	TEL03L
YDRCTy1-2	TEL04R
YGR109W-B	TEL05L
YGRCTy1-3	TEL05R
YGRWdelta11	TEL07L
YGRWTy1-1	TEL07R
YGRWTy3-1	TEL08R
YGRWTy3-1	TEL11L
YHRCdelta10	TEL12L
YILCtau1	TEL14L
YILWTy3-1	TEL14R
YILWTy3-1	TEL16L
YKRCdelta12	THI12
YLR162W	THI13
YLRWTy2-1	THI22
YLRWTy2-1	THI5
YMR045C	TPO3
YMR046C	VBA3
YMR317W	VBA5
YMRCdelta8	YAL063C-A
YMRCTy1-3	YAL064W
YMRCTy1-3	YAL064W-B
YMRCTy1-3	YAL065C
YMRCTy1-3	YALWdelta1
YMRCTy1-3	YAR009C
YMRCTy1-3	YAR009C
YMRCTy1-3	YAR010C
YMRCTy1-3	YAR047C
YMRWtau2	YAR053W
YNL018C	YAR060C
YNLWsigma2	YAR061W
YNLWtau2	YAR064W
YOL155W-A	YAR066W
YOR389W	YAR068W
YORWTy1-2	YAR069C
YORWTy1-2	YAR070C
YORWTy1-2	YAR071W
YPL060C-A.	YARCdelta4
YPLCtau2	YARCdelta5
YPR195C	YARCTy1-1
YPR196W	YBL100W-A
YPRWtau4	YBL100W-B
	YBL107W-A
	YBL108W
	YBL109W
	YBLWdelta1
	YBLWdelta2
	YBLWdelta4
	YBLWdelta5
	YBLWTy2-1
	YBR012W-A
	YBR012W-B
	YBR012W-B
	YBR012W-B
	YBR298C-A
	YBR300C
	YBRCdelta19
	YBRWdelta18
	YBRWTy1-2
	YBRWTy1-2
	YCL019W
	YCL068C
	YCL074W
	YCLWTy2-1
	YCLWTy5-1
	YDLWtau1
	YDR034C-A
	YDR034C-C
