From	Entry	Gene Names
YDR010C	A0A8H8UMT0	YDR010C GI527_G0000933
HXT1	A0A8H4C235	HXT1 GI527_G0002893
HXT1	E9P9G4	HXT1
YER186C	A0A8H8UM50	YER186C GI527_G0002007
YLR412C-A	A0A8H4BXT9	YLR412C-A GI527_G0004233
COX1	A0A0G3F494	cox1
FYV12	A0A8H4BX82	FYV12 GI527_G0005554
HXT8	A0A8H4F8Y3	HXT8 GI527_G0003040
YBL044W	A0A8H4BTQ2	YBL044W GI527_G0000155
AGA1	A0A8H4BW01	AGA1 GI527_G0005153
EMI1	A0A8H8UP40	EMI1 GI527_G0001442
ENA1	E9P9X5	ENA1
FIG1	A0A6A5Q1X6	FIG1 GI527_G0000245
HMS1	A0A8H4F8L1	HMS1 GI527_G0005404
PRM9	A0A8H4F9K1	PRM9 GI527_G0000085
PTK1	A0A8H4BXR1	PTK1 GI527_G0003440
TRM2	A0A8H4C0M5	TRM2 GI527_G0003700
YER188C-A	A0A8H8UM53	YER188C-A GI527_G0002010
YGL006W-A	A0A8H4C094	YGL006W-A GI527_G0002416
YGL258W-A	A0A8H4BZZ5	YGL258W-A GI527_G0002158
YHR022C	A0A6V8S9V0	YHR022C GI527_G0002812
YIL012W	A0A8H4C0C0	YIL012W GI527_G0001639
YIL046W-A	A0A8H4C1Q3	YIL046W-A GI527_G0001603
YJL028W	A0A8H4FC70	YJL028W GI527_G0003230
YKL096C-B	A0A8H4BXW8	YKL096C-B GI527_G0003540
YLR296W	A0A8H4BXL1	YLR296W GI527_G0004108
YLR342W-A	A0A8H4FBR1	YLR342W-A GI527_G0004160
YNL143C	A0A8H4BXX9	YNL143C GI527_G0004961
YNR065C	A0A8H4F7U4	YNR065C GI527_G0005177
YNR075C-A	A0A8H4BY76	YNR075C-A GI527_G0005188
ABM1	A0A8H4C163	ABM1 GI527_G0003364
ADK2	E9P974	ADK2 AKY3 YER170W
AGP1	A0A8H4BTJ6	AGP1 GI527_G0000557
AGP3	A0A8H8UL31	AGP3 GI527_G0002022
AKR2	A0A8H4BWY9	AKR2 GI527_G0005407
AQR1	A0A8H4FAU7	AQR1 GI527_G0005039
AQY1	D3W7A4	AQY1 YPR192W GI527_G0006245
ATG29	A0A8H4BUM8	ATG29 GI527_G0005883
ATP23	A0A8H4FAX7	ATP23 GI527_G0005129
BBP1	A0A8H4BUR5	BBP1 GI527_G0005795
BCP1	A0A6A5Q461	BCP1 GI527_G0001294
BSC1	A0A8H8UMP2	BSC1 GI527_G0000889
BXI1	A0A8H4BWS5	BXI1 GI527_G0004807
CHS5	A0A8H4BXN6	CHS5 GI527_G0004145
CHZ1	A0A8H8ULP2	CHZ1 GI527_G0001822
CRT10	A0A8H4F7A3	CRT10 GI527_G0005298
DAL5	A0A6A5PVF8	DAL5 GI527_G0003410
DCV1	A0A8H8UL94	DCV1 GI527_G0002097
DSF1	A0A8H8ULE5	DSF1 MAN2 GI527_G0001707 GI527_G0005185
ECM1	A0A8H4BZX9	ECM1 GI527_G0000008
ECM34	A0A6G9KT35	ECM34
ERC1	A0A8H4BZH5	ERC1 GI527_G0002823
EST2	A0A8H4BZU1	EST2 GI527_G0004133
FAT3	A0A8H4BYQ0	FAT3 GI527_G0003453
FLO10	A0A8H4FAL2	FLO10 GI527_G0003749
FRE3	A0A8H4BXL4	FRE3 GI527_G0005750
GAC1	A0A8H4FAC9	GAC1 GI527_G0005549
GAT1	A0A1B1SPG1	GAT1
GEP7	A0A8H4C0A1	GEP7 GI527_G0002362
GEX1	A0A8H4BTB1	GEX1 GI527_G0000514
GEX2	A0A8H4BZ93	GEX2 GI527_G0003753
GTT2	A0A6V8RKD3	GTT2 GI527_G0003761
HHF2	A0A6A5Q1V3	HHF1 HHF2 GI527_G0000213 GI527_G0005078
HSM3	A0A8H4F7Y3	HSM3 GI527_G0000483
HSP32	A0A6A5Q2B0	HSP32 GI527_G0005769
HSP33	A0A8H4FAK6	HSP33 GI527_G0005761
HXT17	A0A8H4BWX9	HXT17 GI527_G0005184
HXT9	A0A8H4C0P7	HXT9 GI527_G0003036
IMA5	A0A8H4F975	IMA5 GI527_G0003039
IST2	A0A8H4BV72	IST2 GI527_G0000298
KDX1	A0A8H4FBV6	KDX1 GI527_G0003479
LCL1	A0A8H4F9S5	LCL1 GI527_G0005995
LIH1	A0A8H4BYV6	LIH1 GI527_G0003363
MAL33	A0A8H4BTH4	MAL33 GI527_G0000508
MET1	A0A8H4FAE1	MET1 GI527_G0003714
MIG3	A0A8H8ULP0	MIG3 GI527_G0001820
MMP1	A0A6L1BEY7	MMP1 GI527_G0003760
NAB2	A0A8H4C2I0	NAB2 GI527_G0002295
NFT1	P0CE70	NFT1
NFT1	A0A8H4BZC8	NFT1 GI527_G0003750
NGL3	A0A8H4BW16	NGL3 GI527_G0004299
NIT1	A0A8H4FAZ7	NIT1 GI527_G0001481
ORC6	A0A8H4FB64	ORC6 GI527_G0002916
PAU7	A0A8H4C050	PAU7 GI527_G0006256
PHO23	A0A6L0ZYR3	PHO23 GI527_G0005006
PMT7	A0A8H8UNK6	PMT7 GI527_G0001239
PRM7	A0A8H8UMP1	PRM7 GI527_G0000888
QDR2	A0A8H4F9M0	QDR2 GI527_G0001526
RBG2	A0A6A5PW70	RBG2 GI527_G0002608
