Chromosome	Start	Ratio	MedianRatio	CopyNumber
NC_001133.9	1	0.21582	1.50141	2
NC_001133.9	251	0.15284	1.50141	2
NC_001133.9	501	0.162309	1.50141	2
NC_001133.9	751	0.390635	1.50141	2
NC_001133.9	1001	1.60455	1.50141	3
NC_001133.9	1251	1.39827	1.50141	3
NC_001133.9	1501	2.02801	1.50141	3
NC_001133.9	1751	2.24809	1.50141	3
NC_001133.9	2001	2.22914	1.50141	3
NC_001133.9	2251	3.30295	1.50141	3
NC_001133.9	2501	1.81256	1.53455	3
NC_001133.9	2751	1.71127	1.53455	3
NC_001133.9	3001	1.53455	1.53455	3
NC_001133.9	3251	1.30963	1.53455	3
NC_001133.9	3501	1.38109	1.53455	3
NC_001133.9	3751	1.69192	1.53455	3
NC_001133.9	4001	1.69951	1.53455	3
NC_001133.9	4251	1.55331	1.53455	3
NC_001133.9	4501	1.6151	1.53455	3
NC_001133.9	4751	1.46195	1.53455	3
NC_001133.9	5001	1.53689	1.53455	3
NC_001133.9	5251	1.52304	1.53455	3
NC_001133.9	5501	1.48128	1.53455	3
NC_001133.9	5751	1.48128	1.53455	3
NC_001133.9	6001	1.42267	1.53455	3
NC_001133.9	6251	1.18203	1.53455	3
NC_001133.9	6501	1.08289	1.53455	3
NC_001133.9	6751	1.45868	1.53455	3
NC_001133.9	7001	1.39709	1.53455	3
NC_001133.9	7251	1.4761	1.53455	3
NC_001133.9	7501	1.50232	1.53455	3
NC_001133.9	7751	1.61105	1.53455	3
NC_001133.9	8001	1.89712	1.53455	3
NC_001133.9	8251	1.73597	1.53455	3
NC_001133.9	8501	1.84789	1.53455	3
NC_001133.9	8751	1.6839	1.53455	3
NC_001133.9	9001	1.70305	1.53455	3
NC_001133.9	9251	1.5969	1.53455	3
NC_001133.9	9501	1.66317	1.53455	3
NC_001133.9	9751	1.49544	1.53455	3
NC_001133.9	10001	1.52411	1.53455	3
NC_001133.9	10251	1.44572	1.53455	3
NC_001133.9	10501	1.67266	1.53455	3
NC_001133.9	10751	1.5872	1.53455	3
NC_001133.9	11001	1.35617	1.53455	3
NC_001133.9	11251	1.48389	1.53455	3
NC_001133.9	11501	1.63064	1.53455	3
NC_001133.9	11751	0.552855	0	0
NC_001133.9	12001	0.207059	0	0
NC_001133.9	12251	0.165876	0	0
NC_001133.9	12501	0	0	0
NC_001133.9	12751	0.177724	0	0
NC_001133.9	13001	0.226639	0	0
NC_001133.9	13251	0.687781	0	0
NC_001133.9	13501	0.300133	0	0
NC_001133.9	13751	0.0528825	0	0
NC_001133.9	14001	0	0	0
NC_001133.9	14251	0	0	0
NC_001133.9	14501	0	0	0
NC_001133.9	14751	0	0	0
NC_001133.9	15001	0	0	0
NC_001133.9	15251	0	0	0
NC_001133.9	15501	0	0	0
NC_001133.9	15751	0	0	0
NC_001133.9	16001	0	0	0
NC_001133.9	16251	0	0	0
NC_001133.9	16501	0	0	0
NC_001133.9	16751	0	0	0
NC_001133.9	17001	0	0	0
NC_001133.9	17251	0	0	0
NC_001133.9	17501	0	0	0
NC_001133.9	17751	0	0	0
NC_001133.9	18001	0	0	0
NC_001133.9	18251	0	0	0
NC_001133.9	18501	0	0	0
NC_001133.9	18751	0	0	0
NC_001133.9	19001	0	0	0
NC_001133.9	19251	0	0	0
NC_001133.9	19501	0	0	0
NC_001133.9	19751	0	0	0
NC_001133.9	20001	0	0	0
NC_001133.9	20251	0	0	0
NC_001133.9	20501	0	0	0
NC_001133.9	20751	0	0	0
NC_001133.9	21001	0	0	0
NC_001133.9	21251	0	0	0
NC_001133.9	21501	0	0	0
NC_001133.9	21751	0	0	0
NC_001133.9	22001	0	0	0
NC_001133.9	22251	0	0	0
NC_001133.9	22501	0	0	0
NC_001133.9	22751	0	0	0
NC_001133.9	23001	0	0	0
NC_001133.9	23251	0	0	0
NC_001133.9	23501	0.0480366	0	0
NC_001133.9	23751	0.0562994	0	0
NC_001133.9	24001	0.00771518	0	0
NC_001133.9	24251	0.358	0	0
NC_001133.9	24501	0.846226	0	0
NC_001133.9	24751	0.249237	0	0
NC_001133.9	25001	0.439726	0	0
NC_001133.9	25251	0.220631	0	0
NC_001133.9	25501	0.239468	0	0
NC_001133.9	25751	0.116532	0	0
NC_001133.9	26001	0.423441	0	0
NC_001133.9	26251	0.194219	0	0
NC_001133.9	26501	0.410756	0	0
NC_001133.9	26751	2.68793	2.68793	5
NC_001133.9	27001	1.19215	1.01526	2
NC_001133.9	27251	0.156661	1.01526	2
NC_001133.9	27501	0.537055	1.01526	2
NC_001133.9	27751	1.41943	1.01526	2
NC_001133.9	28001	1.06088	1.01526	2
NC_001133.9	28251	0.849969	1.01526	2
NC_001133.9	28501	0.993863	1.01526	2
NC_001133.9	28751	0.893776	1.01526	2
NC_001133.9	29001	0.877138	1.01526	2
NC_001133.9	29251	1.01201	1.01526	2
NC_001133.9	29501	0.90742	1.01526	2
NC_001133.9	29751	0.985023	1.01526	2
NC_001133.9	30001	0.874998	1.01526	2
NC_001133.9	30251	0.947434	1.01526	2
NC_001133.9	30501	0.873438	1.01526	2
NC_001133.9	30751	0.817329	1.01526	2
NC_001133.9	31001	0.770853	1.01526	2
NC_001133.9	31251	0.887242	1.01526	2
NC_001133.9	31501	0.977772	1.01526	2
NC_001133.9	31751	1.11662	1.01526	2
NC_001133.9	32001	1.02049	1.01526	2
NC_001133.9	32251	0.85845	1.01526	2
NC_001133.9	32501	0.978138	1.01526	2
NC_001133.9	32751	1.04296	1.01526	2
NC_001133.9	33001	1.0491	1.01526	2
NC_001133.9	33251	1.2557	1.01526	2
NC_001133.9	33501	1.02668	1.01526	2
NC_001133.9	33751	0.785802	1.01526	2
NC_001133.9	34001	1.04281	1.01526	2
NC_001133.9	34251	1.0663	1.01526	2
NC_001133.9	34501	0.970536	1.01526	2
NC_001133.9	34751	0.849897	1.01526	2
NC_001133.9	35001	0.990257	1.01526	2
NC_001133.9	35251	0.950021	1.01526	2
NC_001133.9	35501	0.925822	1.01526	2
NC_001133.9	35751	0.945342	1.01526	2
NC_001133.9	36001	1.15864	1.01526	2
NC_001133.9	36251	1.01628	1.01526	2
NC_001133.9	36501	0.926004	1.01526	2
NC_001133.9	36751	1.15509	1.01526	2
NC_001133.9	37001	0.928694	1.01526	2
NC_001133.9	37251	0.984353	1.01526	2
NC_001133.9	37501	0.989641	1.01526	2
NC_001133.9	37751	0.90321	1.01526	2
NC_001133.9	38001	0.872042	1.01526	2
NC_001133.9	38251	0.9839	1.01526	2
NC_001133.9	38501	1.03487	1.01526	2
NC_001133.9	38751	0.902791	1.01526	2
NC_001133.9	39001	0.890037	1.01526	2
NC_001133.9	39251	0.935435	1.01526	2
NC_001133.9	39501	0.962671	1.01526	2
NC_001133.9	39751	1.07559	1.01526	2
NC_001133.9	40001	0.976287	1.01526	2
NC_001133.9	40251	0.936245	1.01526	2
NC_001133.9	40501	0.914189	1.01526	2
NC_001133.9	40751	0.886329	1.01526	2
NC_001133.9	41001	1.00332	1.01526	2
NC_001133.9	41251	1.06756	1.01526	2
NC_001133.9	41501	1.08711	1.01526	2
NC_001133.9	41751	1.03294	1.01526	2
NC_001133.9	42001	1.05635	1.01526	2
NC_001133.9	42251	0.968118	1.01526	2
NC_001133.9	42501	1.07577	1.01526	2
NC_001133.9	42751	1.09923	1.01526	2
NC_001133.9	43001	1.06278	1.01526	2
NC_001133.9	43251	1.141	1.01526	2
NC_001133.9	43501	1.03383	1.01526	2
NC_001133.9	43751	0.830415	1.01526	2
NC_001133.9	44001	1.04626	1.01526	2
NC_001133.9	44251	1.09664	1.01526	2
NC_001133.9	44501	1.04296	1.01526	2
NC_001133.9	44751	1.06821	1.01526	2
NC_001133.9	45001	0.832493	1.01526	2
NC_001133.9	45251	0.847406	1.01526	2
NC_001133.9	45501	0.655225	1.01526	2
NC_001133.9	45751	0.792788	1.01526	2
NC_001133.9	46001	0.930791	1.01526	2
NC_001133.9	46251	1.06616	1.01526	2
NC_001133.9	46501	1.1925	1.01526	2
NC_001133.9	46751	1.14219	1.01526	2
NC_001133.9	47001	1.27628	1.01526	2
NC_001133.9	47251	1.06865	1.01526	2
NC_001133.9	47501	1.02334	1.01526	2
NC_001133.9	47751	1.14462	1.01526	2
NC_001133.9	48001	1.02689	1.01526	2
NC_001133.9	48251	0.935351	1.01526	2
NC_001133.9	48501	1.08033	1.01526	2
NC_001133.9	48751	1.08787	1.01526	2
NC_001133.9	49001	1.10743	1.01526	2
NC_001133.9	49251	1.2027	1.01526	2
NC_001133.9	49501	0.975138	1.01526	2
NC_001133.9	49751	1.07035	1.01526	2
NC_001133.9	50001	0.971452	1.01526	2
NC_001133.9	50251	0.909252	1.01526	2
NC_001133.9	50501	0.977637	1.01526	2
NC_001133.9	50751	1.03282	1.01526	2
NC_001133.9	51001	1.1484	1.01526	2
NC_001133.9	51251	1.05762	1.01526	2
NC_001133.9	51501	1.13656	1.01526	2
NC_001133.9	51751	1.07285	1.01526	2
NC_001133.9	52001	0.999176	1.01526	2
NC_001133.9	52251	0.947434	1.01526	2
NC_001133.9	52501	1.08313	1.01526	2
NC_001133.9	52751	1.11659	1.01526	2
NC_001133.9	53001	1.14507	1.01526	2
NC_001133.9	53251	1.18539	1.01526	2
NC_001133.9	53501	1.01326	1.01526	2
NC_001133.9	53751	1.07089	1.01526	2
NC_001133.9	54001	1.07459	1.01526	2
NC_001133.9	54251	1.03467	1.01526	2
NC_001133.9	54501	0.975246	1.01526	2
NC_001133.9	54751	0.988504	1.01526	2
NC_001133.9	55001	1.02792	1.01526	2
NC_001133.9	55251	1.04618	1.01526	2
NC_001133.9	55501	1.03596	1.01526	2
NC_001133.9	55751	0.948189	1.01526	2
NC_001133.9	56001	0.967657	1.01526	2
NC_001133.9	56251	1.03089	1.01526	2
NC_001133.9	56501	0.94478	1.01526	2
NC_001133.9	56751	1.10626	1.01526	2
NC_001133.9	57001	1.16885	1.01526	2
NC_001133.9	57251	1.03717	1.01526	2
NC_001133.9	57501	1.04772	1.01526	2
NC_001133.9	57751	0.88019	1.01526	2
NC_001133.9	58001	1.04789	1.01526	2
NC_001133.9	58251	0.968255	1.01526	2
NC_001133.9	58501	1.05727	1.01526	2
NC_001133.9	58751	1.18042	1.01526	2
NC_001133.9	59001	1.06586	1.01526	2
NC_001133.9	59251	0.981613	1.01526	2
NC_001133.9	59501	0.948967	1.01526	2
NC_001133.9	59751	0.912592	1.01526	2
NC_001133.9	60001	1.07657	1.01526	2
NC_001133.9	60251	0.991168	1.01526	2
NC_001133.9	60501	1.02548	1.01526	2
NC_001133.9	60751	0.958798	1.01526	2
NC_001133.9	61001	0.922106	1.01526	2
NC_001133.9	61251	1.04963	1.01526	2
NC_001133.9	61501	0.931906	1.01526	2
NC_001133.9	61751	1.14702	1.01526	2
NC_001133.9	62001	1.14785	1.01526	2
NC_001133.9	62251	1.12052	1.01526	2
NC_001133.9	62501	1.0457	1.01526	2
NC_001133.9	62751	0.99501	1.01526	2
NC_001133.9	63001	1.01526	1.01526	2
NC_001133.9	63251	1.05325	1.01526	2
NC_001133.9	63501	1.00854	1.01526	2
NC_001133.9	63751	0.854749	1.01526	2
NC_001133.9	64001	0.984114	1.01526	2
NC_001133.9	64251	0.94757	1.01526	2
NC_001133.9	64501	1.01956	1.01526	2
NC_001133.9	64751	0.973857	1.01526	2
NC_001133.9	65001	1.0114	1.01526	2
NC_001133.9	65251	1.00303	1.01526	2
NC_001133.9	65501	1.10437	1.01526	2
NC_001133.9	65751	0.970424	1.01526	2
NC_001133.9	66001	0.933265	1.01526	2
NC_001133.9	66251	0.939153	1.01526	2
NC_001133.9	66501	0.952461	1.01526	2
NC_001133.9	66751	1.07089	1.01526	2
NC_001133.9	67001	0.903147	1.01526	2
NC_001133.9	67251	1.06044	1.01526	2
NC_001133.9	67501	0.876756	1.01526	2
NC_001133.9	67751	0.921595	1.01526	2
NC_001133.9	68001	0.899352	1.01526	2
NC_001133.9	68251	0.988139	1.01526	2
NC_001133.9	68501	1.02011	1.01526	2
NC_001133.9	68751	0.898109	1.01526	2
NC_001133.9	69001	0.941761	1.01526	2
NC_001133.9	69251	0.867353	1.01526	2
NC_001133.9	69501	0.740441	1.01526	2
NC_001133.9	69751	0.868518	1.01526	2
NC_001133.9	70001	1.07705	1.01526	2
NC_001133.9	70251	0.935772	1.01526	2
NC_001133.9	70501	0.834203	1.01526	2
NC_001133.9	70751	0.88212	1.01526	2
NC_001133.9	71001	1.05705	1.01526	2
NC_001133.9	71251	1.09217	1.01526	2
NC_001133.9	71501	1.09107	1.01526	2
NC_001133.9	71751	1.14279	1.01526	2
NC_001133.9	72001	1.16639	1.01526	2
NC_001133.9	72251	1.15597	1.01526	2
NC_001133.9	72501	1.08899	1.01526	2
NC_001133.9	72751	1.10112	1.01526	2
NC_001133.9	73001	0.962365	1.01526	2
NC_001133.9	73251	0.99884	1.01526	2
NC_001133.9	73501	0.944351	1.01526	2
NC_001133.9	73751	1.02813	1.01526	2
NC_001133.9	74001	0.942478	1.01526	2
NC_001133.9	74251	0.925885	1.01526	2
NC_001133.9	74501	1.0128	1.01526	2
NC_001133.9	74751	0.880522	1.01526	2
NC_001133.9	75001	0.948681	1.01526	2
NC_001133.9	75251	1.07769	1.01526	2
NC_001133.9	75501	1.07556	1.01526	2
NC_001133.9	75751	1.00106	1.01526	2
NC_001133.9	76001	0.933912	1.01526	2
NC_001133.9	76251	0.993175	1.01526	2
NC_001133.9	76501	1.16182	1.01526	2
NC_001133.9	76751	1.08794	1.01526	2
NC_001133.9	77001	0.945342	1.01526	2
NC_001133.9	77251	0.84721	1.01526	2
NC_001133.9	77501	0.976619	1.01526	2
NC_001133.9	77751	1.03885	1.01526	2
NC_001133.9	78001	1.10307	1.01526	2
NC_001133.9	78251	1.09503	1.01526	2
NC_001133.9	78501	1.04373	1.01526	2
NC_001133.9	78751	1.04572	1.01526	2
NC_001133.9	79001	1.21569	1.01526	2
NC_001133.9	79251	1.00963	1.01526	2
NC_001133.9	79501	0.918806	1.01526	2
NC_001133.9	79751	1.09477	1.01526	2
NC_001133.9	80001	0.873659	1.01526	2
NC_001133.9	80251	0.985189	1.01526	2
NC_001133.9	80501	1.10229	1.01526	2
NC_001133.9	80751	1.11763	1.01526	2
NC_001133.9	81001	1.0698	1.01526	2
NC_001133.9	81251	0.90628	1.01526	2
NC_001133.9	81501	0.872996	1.01526	2
NC_001133.9	81751	0.772864	1.01526	2
NC_001133.9	82001	0.985233	1.01526	2
NC_001133.9	82251	1.09489	1.01526	2
NC_001133.9	82501	1.11952	1.01526	2
NC_001133.9	82751	1.03713	1.01526	2
NC_001133.9	83001	0.854749	1.01526	2
NC_001133.9	83251	1.0339	1.01526	2
NC_001133.9	83501	1.09222	1.01526	2
NC_001133.9	83751	1.10311	1.01526	2
NC_001133.9	84001	1.03853	1.01526	2
NC_001133.9	84251	0.91736	1.01526	2
NC_001133.9	84501	1.07331	1.01526	2
NC_001133.9	84751	1.14248	1.01526	2
NC_001133.9	85001	1.16182	1.01526	2
NC_001133.9	85251	1.16844	1.01526	2
NC_001133.9	85501	1.1254	1.01526	2
NC_001133.9	85751	1.17445	1.01526	2
NC_001133.9	86001	1.01172	1.01526	2
NC_001133.9	86251	1.05396	1.01526	2
NC_001133.9	86501	1.1253	1.01526	2
NC_001133.9	86751	1.03437	1.01526	2
NC_001133.9	87001	0.975863	1.01526	2
NC_001133.9	87251	0.959897	1.01526	2
NC_001133.9	87501	0.955662	1.01526	2
NC_001133.9	87751	0.859306	1.01526	2
NC_001133.9	88001	0.868518	1.01526	2
NC_001133.9	88251	1.03421	1.01526	2
NC_001133.9	88501	1.14156	1.01526	2
NC_001133.9	88751	1.19986	1.01526	2
NC_001133.9	89001	1.17869	1.01526	2
NC_001133.9	89251	1.17489	1.01526	2
NC_001133.9	89501	1.30396	1.01526	2
NC_001133.9	89751	1.25305	1.01526	2
NC_001133.9	90001	1.11809	1.01526	2
NC_001133.9	90251	1.08978	1.01526	2
NC_001133.9	90501	1.14309	1.01526	2
NC_001133.9	90751	0.989862	1.01526	2
NC_001133.9	91001	1.08546	1.01526	2
NC_001133.9	91251	0.902779	1.01526	2
NC_001133.9	91501	0.879592	1.01526	2
NC_001133.9	91751	1.10175	1.01526	2
