Chromosome	Start	Ratio	MedianRatio	CopyNumber
NC_001133.9	1	0.0440587	0.0440587	1
NC_001133.9	251	0	0.0440587	1
NC_001133.9	501	0.319455	0.0440587	1
NC_001133.9	751	1.44014	1.38895	1
NC_001133.9	1001	1.50117	1.38895	1
NC_001133.9	1251	3.29849	1.38895	1
NC_001133.9	1501	0.214304	1.38895	1
NC_001133.9	1751	1.11993	1.38895	1
NC_001133.9	2001	2.27923	1.38895	1
NC_001133.9	2251	2.4183	1.38895	1
NC_001133.9	2501	0.757354	1.38895	1
NC_001133.9	2751	1.56765	1.38895	1
NC_001133.9	3001	1.49923	1.38895	1
NC_001133.9	3251	1.31285	1.38895	1
NC_001133.9	3501	1.40945	1.38895	1
NC_001133.9	3751	1.23719	1.38895	1
NC_001133.9	4001	1.2703	1.38895	1
NC_001133.9	4251	1.34966	1.38895	1
NC_001133.9	4501	1.37323	1.38895	1
NC_001133.9	4751	1.38113	1.38895	1
NC_001133.9	5001	1.55273	1.38895	1
NC_001133.9	5251	1.52616	1.38895	1
NC_001133.9	5501	1.46247	1.38895	1
NC_001133.9	5751	1.41327	1.38895	1
NC_001133.9	6001	1.09685	1.38895	1
NC_001133.9	6251	1.1804	1.38895	1
NC_001133.9	6501	1.25697	1.38895	1
NC_001133.9	6751	1.33732	1.38895	1
NC_001133.9	7001	1.30911	1.38895	1
NC_001133.9	7251	1.38894	1.38895	1
NC_001133.9	7501	1.42865	1.38895	1
NC_001133.9	7751	1.61248	1.38895	1
NC_001133.9	8001	1.47143	1.38895	1
NC_001133.9	8251	1.6186	1.38895	1
NC_001133.9	8501	1.55478	1.38895	1
NC_001133.9	8751	1.42676	1.38895	1
NC_001133.9	9001	1.2908	1.38895	1
NC_001133.9	9251	1.30019	1.38895	1
NC_001133.9	9501	1.40757	1.38895	1
NC_001133.9	9751	1.38895	1.38895	1
NC_001133.9	10001	1.44969	1.38895	1
NC_001133.9	10251	1.36545	1.38895	1
NC_001133.9	10501	1.20297	1.38895	1
NC_001133.9	10751	1.20058	1.38895	1
NC_001133.9	11001	1.45643	1.38895	1
NC_001133.9	11251	1.37345	1.38895	1
NC_001133.9	11501	1.28669	1.38895	1
NC_001133.9	11751	0.184941	1.38895	1
NC_001133.9	12001	0.113972	1.38895	1
NC_001133.9	12251	1.92548	1.38895	1
NC_001133.9	12501	1.42505	1.38895	1
NC_001133.9	12751	1.41947	1.38895	1
NC_001133.9	13001	0.599666	0	0
NC_001133.9	13251	0.00453096	0	0
NC_001133.9	13501	0	0	0
NC_001133.9	13751	0	0	0
NC_001133.9	14001	0	0	0
NC_001133.9	14251	0	0	0
NC_001133.9	14501	0	0	0
NC_001133.9	14751	0	0	0
NC_001133.9	15001	0	0	0
NC_001133.9	15251	0	0	0
NC_001133.9	15501	0	0	0
NC_001133.9	15751	0	0	0
NC_001133.9	16001	0	0	0
NC_001133.9	16251	0	0	0
NC_001133.9	16501	0	0	0
NC_001133.9	16751	0	0	0
NC_001133.9	17001	0	0	0
NC_001133.9	17251	0	0	0
NC_001133.9	17501	0	0	0
NC_001133.9	17751	0	0	0
NC_001133.9	18001	0	0	0
NC_001133.9	18251	0	0	0
NC_001133.9	18501	0	0	0
NC_001133.9	18751	0	0	0
NC_001133.9	19001	0	0	0
NC_001133.9	19251	0	0	0
NC_001133.9	19501	0	0	0
NC_001133.9	19751	0	0	0
NC_001133.9	20001	0	0	0
NC_001133.9	20251	0	0	0
NC_001133.9	20501	0	0	0
NC_001133.9	20751	0	0	0
NC_001133.9	21001	0	0	0
NC_001133.9	21251	0	0	0
NC_001133.9	21501	0	0	0
NC_001133.9	21751	0	0	0
NC_001133.9	22001	0	0	0
NC_001133.9	22251	0	0	0
NC_001133.9	22501	0	0	0
NC_001133.9	22751	0	0	0
NC_001133.9	23001	0	0	0
NC_001133.9	23251	0	0	0
NC_001133.9	23501	0.0574811	0	0
NC_001133.9	23751	0.0220104	0	0
NC_001133.9	24001	0.0552769	0	0
NC_001133.9	24251	0.380961	0	0
NC_001133.9	24501	1.2758	1.31743	1
NC_001133.9	24751	0.455889	1.31743	1
NC_001133.9	25001	1.0456	1.31743	1
